game_id,player_id,Player,MIN,FGM-A,3PM-A,FTM-A,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
22,6.0,Jaden Workman,27,3-7,0-0,4-6,0,2,2,0,1,0,5,3,10
22,11.0,Jacob Morgan,40,5-10,0-0,4-6,1,7,8,6,3,0,4,2,14
22,1.0,Brandon Joseph,19,5-7,0-0,2-4,3,1,4,1,0,1,3,5,12
22,,Darnell Morris Jr.,15,2-8,1-3,3-4,2,2,4,1,0,0,0,3,8
22,16.0,Can Dalli,16,4-8,3-5,1-2,1,3,4,0,1,0,0,0,12
23,20.0,Alex Miller,18,0-1,0-0,0-0,0,0,0,1,0,2,2,4,0
23,2.0,Onterio Miller,27,5-10,2-6,0-1,0,5,5,0,3,0,2,1,12
23,3.0,Darrell Green,31,4-14,2-8,1-2,0,5,5,2,3,0,3,3,11
23,6.0,Jaden Workman,33,1-4,0-0,5-6,0,5,5,3,0,0,2,2,7
23,11.0,Jacob Morgan,31,5-9,0-0,4-5,3,6,9,5,2,0,3,4,14
23,1.0,Brandon Joseph,17,7-7,0-0,4-6,2,5,7,2,2,1,2,5,18
23,5.0,Thomas Lewis,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
23,7.0,Josiah Gregg,4,0-0,0-0,0-0,0,1,1,0,0,0,2,3,0
23,9.0,Mal Graham,3,0-1,0-0,0-0,0,1,1,0,1,0,2,2,0
23,,Darnell Morris Jr.,20,3-5,2-3,1-2,0,4,4,1,0,1,1,1,9
23,12.0,Peter Capan,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
23,14.0,Frank Pena,2,0-0,0-0,0-0,0,0,0,0,0,0,0,2,0
23,16.0,Can Dalli,10,1-4,1-3,1-2,1,0,1,0,0,0,0,1,4
24,20.0,Alex Miller,15,0-0,0-0,0-0,1,0,1,1,1,0,0,1,0
24,2.0,Onterio Miller,20,1-5,0-3,0-0,0,4,4,1,0,0,1,1,2
