game_id,Player,Player_and_number,MIN,FGM-A,3PM-A,FTM-A,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
14,Can Dalli,G32Can Dalli,26,"""2-9""","""2-7""",0-0,0,1,1,2,1,0,3,4,6
14,SERVES,RESERVES,,,,,,,,,,,,,
14,Brandon Joseph,F00Brandon Joseph,8,"""1-2""",0-0,0-0,1,0,1,1,0,2,2,1,2
14,Onterio Miller,G01Onterio Miller,12,"""2-6""","""2-4""",0-0,1,1,2,1,1,0,0,3,6
14,Thomas Lewis,G05Thomas Lewis,3,0-1,0-1,0-0,0,0,0,0,0,0,1,1,0
14,Jaden Workman,G11Jaden Workman,23,"""4-7""","""2-3""","""4-5""",0,2,2,2,0,1,0,3,14
14,Alex Miller,F45Alex Miller,17,"""2-3""",0-0,0-0,2,7,9,1,0,2,1,1,4
14,TEAM,TMTEAM,,,,,1,2,3,,,,0,0,
14,TALS,TOTALS,,22-64,"""10-32""","""10-15""",16,23,39,15,9,7,19,19,64
14,,,,34.40%,31.30%,66.70%,,,,,,,,,
15,ARTERS,STARTERS,,,,,,,,,,,,,
15,Liech Kong,F14Liech Kong,29,"""8-12""","""4-7""","""1-4""",3,9,12,2,1,0,4,3,21
15,Alex Miller,F45Alex Miller,24,"""2-6""",0-0,0-2,0,0,0,3,2,1,3,2,4
15,Jaden Workman,G11Jaden Workman,30,"""2-4""","""1-2""","""2-3""",0,3,3,1,2,1,2,1,7
15,Jacob Morgan,G21Jacob Morgan,36,"""7-11""","""2-5""","""2-2""",1,2,3,10,5,0,1,2,18
15,Can Dalli,G32Can Dalli,23,"""1-5""","""1-4""",0-0,0,3,3,0,0,0,2,0,3
15,SERVES,RESERVES,,,,,,,,,,,,,
15,Brandon Joseph,F00Brandon Joseph,22,"""1-3""",0-0,0-0,0,2,2,0,0,0,0,1,2
15,Onterio Miller,G01Onterio Miller,19,"""6-8""","""5-6""",0-0,1,1,2,0,1,0,1,1,17
15,Darrell Green,G02Darrell Green,7,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
15,Darnell Morris Jr.,G20Darnell Morris Jr.,6,"""1-4""","""1-4""",0-0,0,0,0,0,0,0,2,4,3
15,Jon Perry,G44Jon Perry,4,0-1,0-1,0-0,0,1,1,0,0,0,0,0,0
15,TEAM,TMTEAM,,,,,0,3,3,,,,2,0,
15,TALS,TOTALS,,28-54,14-29,"""5-11""",5,24,29,16,11,2,17,14,75
15,,,,51.90%,48.30%,45.50%,,,,,,,,,
16,ARTERS,STARTERS,,,,,,,,,,,,,
16,Liech Kong,F14Liech Kong,33,"""5-11""","""2-3""","""1-2""",0,4,4,0,2,0,2,0,13
16,Alex Miller,F45Alex Miller,13,0-3,0-0,0-0,0,1,1,2,0,0,1,1,0
